Parameter	Posterior Mean	Posterior Variance	a_post	b_post
212-2.whole.wo.indels.fasta.chr-1	2.98514e-06	4.29907e-13	20.728	6.94371e+06
213-1.whole.wo.indels.fasta.chr-1	2.63658e-06	3.79756e-13	18.3053	6.94282e+06
38-1.whole.wo.indels.fasta.chr-1	3.84971e-06	5.54123e-13	26.7454	6.94739e+06
45-1.whole.wo.indels.fasta.chr-1	3.28588e-06	4.73086e-13	22.8225	6.94562e+06
45-12.whole.wo.indels.fasta.chr-1	2.67215e-06	3.84787e-13	18.5566	6.94447e+06
45-13.whole.wo.indels.fasta.chr-1	3.28852e-06	4.73412e-13	22.8435	6.94643e+06
45-4.whole.wo.indels.fasta.chr-1	2.48528e-06	3.57878e-13	17.2591	6.94451e+06
47-10.whole.wo.indels.fasta.chr-1	2.29828e-06	3.30807e-13	15.9673	6.9475e+06
54-1.whole.wo.indels.fasta.chr-1	9.63294e-05	1.45413e-11	638.139	6.62456e+06
54-10.whole.wo.indels.fasta.chr-1	3.6007e-05	5.2672e-12	246.147	6.83608e+06
736-1.whole.wo.indels.fasta.chr-1	8.83501e-05	1.31031e-11	595.719	6.74271e+06
As_615.whole.wo.indels.fasta.chr-1	3.93587e-06	5.66875e-13	27.3272	6.9431e+06
As_628.whole.wo.indels.fasta.chr-1	3.21263e-06	4.63265e-13	22.2788	6.93475e+06
As_676-1.whole.wo.indels.fasta.chr-1	8.86242e-05	1.32441e-11	593.039	6.69161e+06
As_687-1.whole.wo.indels.fasta.chr-1	2.86534e-06	4.1292e-13	19.8832	6.93922e+06
As_691-1.whole.wo.indels.fasta.chr-1	3.24426e-06	4.6721e-13	22.5278	6.9439e+06
As_692-1.whole.wo.indels.fasta.chr-1	4.1402e-06	5.96498e-13	28.7365	6.94084e+06
As_711-2.whole.wo.indels.fasta.chr-1	4.48983e-06	6.46468e-13	31.1827	6.94518e+06
As_720-3.whole.wo.indels.fasta.chr-1	4.43004e-06	6.38123e-13	30.7546	6.94229e+06
As_732-1.whole.wo.indels.fasta.chr-1	2.76063e-06	3.97834e-13	19.1564	6.93914e+06
As_737-1.whole.wo.indels.fasta.chr-1	4.03354e-06	5.80638e-13	28.0199	6.94673e+06
As_739-3.whole.wo.indels.fasta.chr-1	3.86943e-05	5.71749e-12	261.872	6.76771e+06
As_746-1.whole.wo.indels.fasta.chr-1	5.21297e-06	7.50793e-13	36.1951	6.94328e+06
As_749-3.whole.wo.indels.fasta.chr-1	2.27587e-05	3.31417e-12	156.286	6.86709e+06
